1 cursor=3279617 bytes=648
2 cursor=3279677 bytes=60
3 cursor=3279700 bytes=23
4 cursor=3279893 bytes=193
5 cursor=3280702 bytes=809
6 cursor=3280765 bytes=63
7 cursor=3280914 bytes=149
8 cursor=3280914 bytes=0
9 cursor=3283658 bytes=2744
10 cursor=3291850 bytes=8192
11 cursor=3291852 bytes=2
12 cursor=3291852 bytes=0
13 cursor=3291852 bytes=0
14 cursor=3291852 bytes=0
15 cursor=3291852 bytes=0
16 cursor=3291852 bytes=0
17 cursor=3291852 bytes=0
18 cursor=3291852 bytes=0
19 cursor=3291852 bytes=0
20 cursor=3291852 bytes=0
21 cursor=3291852 bytes=0
22 cursor=3291852 bytes=0
23 cursor=3291852 bytes=0
24 cursor=3291852 bytes=0
25 cursor=3291852 bytes=0
26 cursor=3291852 bytes=0
27 cursor=3291852 bytes=0
28 cursor=3291852 bytes=0
